	
  -311	  -311		   +67	   +67		   -68	   -68		  +305	  +305		  +159	  +159		  +516	  +516		  +604	  +604		  +423	  +423		
  +482	  +482		  +782	  +782		  +809	  +809		  +818	  +818		  +812	  +812		  +790	  +790		  +498	  +498		  +449	  +449		
  +390	  +390		  +578	  +578		  +249	  +249		  +172	  +172		  +350	  +350		  +273	  +273		   -56	   -56		  -123	  -123		
   +73	   +73		   +22	   +22		  -274	  -274		  -305	  -305		  -325	  -325		  -334	  -334		  -333	  -333		  -323	  -323		
  -305	  -305		  -281	  -281		    +4	    +4		   +36	   +36		   +70	   +70		  +103	  +103		  -122	  -122		   -95	   -95		
   -73	   -73		   -58	   -58		   -50	   -50		   -49	   -49		   -56	   -56		   -71	   -71		   -93	   -93		  -122	  -122		
  +101	  +101		   +63	   +63		   +23	   +23		  -273	  -273		  -314	  -314		  -352	  -352		  -130	  -130		  -159	  -159		
  -182	  -182		  -198	  -198		  -206	  -206		  -207	  -207		  -200	  -200		  -185	  -185		  -164	  -164		  -138	  -138		
  -364	  -364		  -331	  -331		  -297	  -297		  -264	  -264		   +21	   +21		   +46	   +46		   +65	   +65		   +76	   +76		
   +79	   +79		   +71	   +71		   +52	   +52		   +23	   +23		  -272	  -272		  -321	  -321		  -380	  -380		  -191	  -191		
  -519	  -519		  -595	  -595		  -417	  -417		  -495	  -495		  -825	  -825		  -893	  -893		  -698	  -698		  -748	  -748		
 -1042	 -1042		 -1066	 -1066		 -1075	 -1075		 -1067	 -1067		 -1042	 -1042		  -745	  -745		  -688	  -688		  -871	  -871		
  -784	  -784		  -430	  -430		  -577	  -577		  -204	  -204		  -339	  -339		   +39	   +39		   -95	   -95		  +279	  +279		
  +135	  +135		  +238	  +238		  +585	  +585		  +407	  +407		  +470	  +470		  +773	  +773		  +804	  +804		  +818	  +818		
  +815	  +815		  +796	  +796		  +507	  +507		  +461	  +461		  +404	  +404		  +594	  +594		  +522	  +522		  +190	  +190		
  +367	  +367		  +290	  +290		   -40	   -40		  -108	  -108		   +86	   +86		   +33	   +33		  -266	  -266		  -299	  -299		
  -321	  -321		  -333	  -333		  -334	  -334		  -326	  -326		  -310	  -310		  -287	  -287		  -258	  -258		   +29	   +29		
   +62	   +62		   +96	   +96		  +127	  +127		  -101	  -101		   -78	   -78		   -61	   -61		   -51	   -51		   -48	   -48		
   -54	   -54		   -67	   -67		   -88	   -88		  -115	  -115		  +109	  +109		   +72	   +72		   +32	   +32		  -264	  -264		
  -305	  -305		  -343	  -343		  -378	  -378		  -153	  -153		  -177	  -177		  -195	  -195		  -205	  -205		  -208	  -208		
  -202	  -202		  -189	  -189		  -170	  -170		  -144	  -144		  -371	  -371		  -338	  -338		  -304	  -304		  -271	  -271		
   +14	   +14		   +41	   +41		   +62	   +62		   +75	   +75		   +79	   +79		   +73	   +73		   +57	   +57		   +31	   +31		
  -262	  -262		  -309	  -309		  -366	  -366		  -175	  -175		  -246	  -246		  -578	  -578		  -399	  -399		  -477	  -477		
  -808	  -808		  -878	  -878		  -685	  -685		  -738	  -738		 -1034	 -1034		 -1062	 -1062		 -1074	 -1074		 -1070	 -1070		
