	
+13108	+13108		+11777	+11777		+10260	+10260		 +8326	 +8326		 +6770	 +6770		 +4595	 +4595		 +2856	 +2856		  +816	  +816		
 -1235	 -1235		 -3269	 -3269		 -5251	 -5251		 -7150	 -7150		 -8937	 -8937		-10840	-10840		-12321	-12321		-13612	-13612		
-14694	-14694		-15293	-15293		-16164	-16164		-16273	-16273		-16382	-16382		-16491	-16491		-15832	-15832		-15437	-15437		
-14292	-14292		-13434	-13434		-12114	-12114		-10607	-10607		 -8681	 -8681		 -6876	 -6876		 -5218	 -5218		 -2971	 -2971		
  -933	  -933		 +1119	 +1119		 +3154	 +3154		 +5140	 +5140		 +6789	 +6789		 +8583	 +8583		+10239	+10239		+11730	+11730		
+13032	+13032		+14382	+14382		+14994	+14994		+15879	+15879		+16003	+16003		+16127	+16127		+16250	+16250		+15606	+15606		
+15225	+15225		+14349	+14349		+12991	+12991		+11682	+11682		+10185	+10185		 +8780	 +8780		 +6982	 +6982		 +4817	 +4817		
 +3086	 +3086		 +1049	 +1049		 -1003	 -1003		 -3040	 -3040		 -5029	 -5029		 -7195	 -7195		 -8997	 -8997		-10405	-10405		
-11906	-11906		-13220	-13220		-14326	-14326		-15463	-15463		-15850	-15850		-16500	-16500		-16383	-16383		-16264	-16264		
-16147	-16147		-15267	-15267		-14661	-14661		-13571	-13571		-12017	-12017		-10787	-10787		 -8879	 -8879		 -7087	 -7087		
 -5440	 -5440		 -3456	 -3456		 -1166	 -1166		  +886	  +886		 +2925	 +2925		 +4918	 +4918		 +6577	 +6577		 +8386	 +8386		
+10315	+10315		+11825	+11825		+13150	+13150		+14013	+14013		+15164	+15164		+15564	+15564		+16228	+16228		+16126	+16126		
+16022	+16022		+15919	+15919		+15053	+15053		+14460	+14460		+13383	+13383		+12096	+12096		+10620	+10620		 +8976	 +8976		
 +7192	 +7192		 +5039	 +5039		 +3058	 +3058		 +1282	 +1282		 -1026	 -1026		 -2810	 -2810		 -4806	 -4806		 -6983	 -6983		
 -8798	 -8798		-10224	-10224		-11744	-11744		-13336	-13336		-14211	-14211		-15375	-15375		-15789	-15789		-16468	-16468		
-16380	-16380		-16291	-16291		-16202	-16202		-15351	-15351		-14514	-14514		-13450	-13450		-12175	-12175		-10708	-10708		
 -9330	 -9330		 -7297	 -7297		 -5661	 -5661		 -3685	 -3685		 -1654	 -1654		  +397	  +397		 +2439	 +2439		 +4695	 +4695		
 +6365	 +6365		 +8187	 +8187		 +9876	 +9876		+11407	+11407		+12754	+12754		+14153	+14153		+14818	+14818		+15502	+15502		
+16195	+16195		+16121	+16121		+16047	+16047		+15972	+15972		+15391	+15391		+14312	+14312		+13260	+13260		+11997	+11997		
+10796	+10796		 +8915	 +8915		 +7145	 +7145		 +5259	 +5259		 +3287	 +3287		 +1259	 +1259		  -792	  -792		 -2836	 -2836		
 -4583	 -4583		 -6770	 -6770		 -8342	 -8342		-10296	-10296		-11836	-11836		-12939	-12939		-14350	-14350		-15028	-15028		
-15982	-15982		-16433	-16433		-16374	-16374		-16314	-16314		-16254	-16254		-15687	-15687		-14877	-14877		-13838	-13838		
-12586	-12586		-10884	-10884		 -9523	 -9523		 -7761	 -7761		 -5625	 -5625		 -3913	 -3913		 -1887	 -1887		  +164	  +164		
