 -2558	 -2558		 -1848	 -1848		  -838	  -838		  +187	  +187		 +1200	 +1200		 +2430	 +2430		 +3336	 +3336		 +4148	 +4148		
 +4587	 +4587		 +5397	 +5397		 +5535	 +5535		 +6007	 +6007		 +5775	 +5775		 +5598	 +5598		 +5467	 +5467		 +4867	 +4867		
 +3800	 +3800		 +2781	 +2781		 +1819	 +1819		  +157	  +157		 -1163	 -1163		 -3149	 -3149		 -4755	 -4755		 -6978	 -6978		
 -9025	 -9025		-11122	-11122		-12983	-12983		-15088	-15088		-17148	-17148		-19133	-19133		-21265	-21265		-22745	-22745		
-24314	-24314		-25942	-25942		-26837	-26837		-28000	-28000		-28388	-28388		-29010	-29010		-28828	-28828		-28604	-28604		
-28076	-28076		-27501	-27501		-26371	-26371		-24951	-24951		-22997	-22997		-21294	-21294		-18839	-18839		-16677	-16677		
-13814	-13814		-11301	-11301		 -8147	 -8147		 -5409	 -5409		 -2354	 -2354		  +724	  +724		 +3791	 +3791		 +6811	 +6811		
+10004	+10004		+12824	+12824		+15238	+15238		+17983	+17983		+20265	+20265		+22314	+22314		+24109	+24109		+25632	+25632		
+26612	+26612		+27553	+27553		+28447	+28447		+28781	+28781		+28559	+28559		+28298	+28298		+28010	+28010		+27196	+27196		
+26131	+26131		+24837	+24837		+23337	+23337		+21402	+21402		+19829	+19829		+17625	+17625		+15588	+15588		+13496	+13496		
+11635	+11635		 +9528	 +9528		 +7459	 +7459		 +5459	 +5459		 +3300	 +3300		 +1520	 +1520		  -116	  -116		 -1585	 -1585		
 -2873	 -2873		 -3965	 -3965		 -4597	 -4597		 -5273	 -5273		 -5993	 -5993		 -6246	 -6246		 -6038	 -6038		 -6146	 -6146		
 -5560	 -5560		 -5062	 -5062		 -4672	 -4672		 -3899	 -3899		 -2768	 -2768		 -2072	 -2072		 -1070	 -1070		   -46	   -46		
  +972	  +972		 +1957	 +1957		 +3137	 +3137		 +3717	 +3717		 +4697	 +4697		 +5028	 +5028		 +5716	 +5716		 +5974	 +5974		
 +5787	 +5787		 +5912	 +5912		 +5317	 +5317		 +4766	 +4766		 +4003	 +4003		 +3031	 +3031		 +2113	 +2113		  +493	  +493		
 -1046	 -1046		 -2488	 -2488		 -4321	 -4321		 -6523	 -6523		 -8555	 -8555		-10387	-10387		-12502	-12502		-14868	-14868		
-16942	-16942		-18946	-18946		-20849	-20849		-22620	-22620		-23973	-23973		-25648	-25648		-26596	-26596		-27560	-27560		
-28522	-28522		-28952	-28952		-28837	-28837		-28937	-28937		-28478	-28478		-27716	-27716		-26654	-26654		-25043	-25043		
-23663	-23663		-21762	-21762		-19359	-19359		-17244	-17244		-14678	-14678		-11687	-11687		 -9071	 -9071		 -5840	 -5840		
 -2796	 -2796		  +280	  +280		 +3353	 +3353		 +6131	 +6131		 +9090	 +9090		+11939	+11939		+14902	+14902		+17435	+17435		
+19766	+19766		+21870	+21870		+23469	+23469		+25054	+25054		+26357	+26357		+27365	+27365		+28072	+28072		+28732	+28732		
+28577	+28577		+28383	+28383		+27901	+27901		+27404	+27404		+26394	+26394		+25150	+25150		+23438	+23438		+22054	+22054		
+20256	+20256		+18076	+18076		+16057	+16057		+13974	+13974		+12117	+12117		+10004	+10004		 +7668	 +7668		 +5906	 +5906		
 +3723	 +3723		 +2168	 +2168		  +242	  +242		 -1010	 -1010		 -2597	 -2597		 -3479	 -3479		 -4669	 -4669		 -5394	 -5394		
 -5906	 -5906		 -6207	 -6207		 -6045	 -6045		 -6197	 -6197		 -5906	 -5906		 -5445	 -5445		 -4574	 -4574		 -3829	 -3829		
 -2975	 -2975		 -2038	 -2038		 -1301	 -1301		  -279	  -279		  +743	  +743		 +1738	 +1738		 +2934	 +2934		 +3536	 +3536		
 +4287	 +4287		 +5164	 +5164		 +5633	 +5633		 +5931	 +5931		 +5789	 +5789		 +5960	 +5960		 +5669	 +5669		 +5166	 +5166		
